CleanTitle,genre
Não olhe para cima,Comedy
Não olhe para cima,Science Fiction
Não olhe para cima,Drama
The seven deadly sins,Animation
The seven deadly sins,Action & Adventure
The seven deadly sins,Sci-Fi & Fantasy
Atlanta,Comedy
Atlanta,Drama
Gente Grande,Comedy
Icarly,Comedy
Icarly,Kids
Icarly,Family
Icarly,Drama
Na Natureza Selvagem,Adventure
Na Natureza Selvagem,Drama
Fuja,Thriller
Fuja,Horror
Fuja,Drama
Jumanji,Animation
Jumanji,Kids
Jumanji,Action & Adventure
Jumanji,Sci-Fi & Fantasy
Novocaine: a prova de dor,Action
Novocaine: a prova de dor,Comedy
Novocaine: a prova de dor,Thriller
Agents of shield,Drama
Agents of shield,Sci-Fi & Fantasy
Agents of shield,Action & Adventure
The witcher,Drama
The witcher,Action & Adventure
Daybreak,Sci-Fi & Fantasy
Daybreak,Action & Adventure
Escola de rock,Comedy
Escola de rock,Music
Escola de rock,Family
Fullmetal Alchemist: Brotherhood,Animation
Fullmetal Alchemist: Brotherhood,Action & Adventure
Fullmetal Alchemist: Brotherhood,Sci-Fi & Fantasy
Fullmetal Alchemist: Brotherhood,Drama
Fullmetal Alchemist,Animation
Fullmetal Alchemist,Action & Adventure
Fullmetal Alchemist,Sci-Fi & Fantasy
Fullmetal Alchemist,Drama
True Detective,Drama
True Detective,Mystery
